session,index,time,stimulus_name,condition_name,response,correct,rt,reward,max_wait
1,1,2017-04-08 11:12:43.526462,/home/fet/stimuli/test_categories_box2/reward/So_Stim_3_WhiLbl0010_060405.wav,Rewarded,True,False,0:00:00.034422,False,6.0
1,2,2017-04-08 11:12:43.564573,/home/fet/stimuli/test_categories_box2/nonreward/Di_Stim_2_WhiWhi1415_020202020202.wav,Unrewarded,False,False,nan,False,6.0
1,3,2017-04-08 11:12:58.328715,/home/fet/stimuli/test_categories_box2/nonreward/Ag_Stim_1_YelOra2575_102318042022.wav,Unrewarded,True,True,0:00:00.047017,False,6.0
1,4,2017-04-08 11:12:58.379077,/home/fet/stimuli/test_categories_box2/nonreward/Ag_Stim_3_BluRas07dd_051209131520.wav,Unrewarded,False,False,nan,False,6.0
1,5,2017-04-08 11:13:11.521099,/home/fet/stimuli/test_categories_box2/nonreward/Tu_Stim_1_YelGre5275_041608241203.wav,Unrewarded,True,True,0:00:00.047234,False,6.0
1,6,2017-04-08 11:13:11.571594,/home/fet/stimuli/test_categories_box2/reward/So_Stim_4_LblRed0613_171008.wav,Rewarded,True,False,0:00:01.639013,False,6.0
1,7,2017-04-08 11:13:13.214097,/home/fet/stimuli/test_categories_box2/nonreward/Di_Stim_5_Unknown000_020101020101.wav,Unrewarded,True,True,0:00:00.033574,False,6.0
1,8,2017-04-08 11:13:13.251024,/home/fet/stimuli/test_categories_box2/nonreward/Th_Stim_2_WhiRas44dd_132237254836.wav,Unrewarded,True,True,0:00:01.028796,False,6.0
1,9,2017-04-08 11:13:14.284403,/home/fet/stimuli/test_categories_box2/nonreward/LT_Stim_2_LblBlu1927_010101010101.wav,Unrewarded,True,True,0:00:00.031226,False,6.0
1,10,2017-04-08 11:13:14.319814,/home/fet/stimuli/test_categories_box2/nonreward/Tu_Stim_9_GraLbl0457_121514011602.wav,Unrewarded,True,True,0:00:01.123209,False,6.0
