session,index,time,stimulus_name,condition_name,response,correct,rt,reward,max_wait
1,1,2023-03-25 10:16:30.189223,/data/pecking_test/stimuli/confusing_categories/DC_TE/4v4/box6/nonreward/DC_Stim_4_WhiBlu4917_080622010920.wav,Unrewarded,False,False,nan,False,6.0
1,2,2023-03-25 10:16:45.622185,/data/pecking_test/stimuli/confusing_categories/DC_TE/4v4/box6/nonreward/DC_Stim_9_WhiBlu4917_200601080518.wav,Unrewarded,False,False,nan,False,6.0
1,3,2023-03-25 10:17:06.859132,/data/pecking_test/stimuli/confusing_categories/DC_TE/4v4/box6/nonreward/DC_Stim_10_BlaBla0506_132118101526.wav,Unrewarded,True,True,0:00:01.009904,False,6.0
1,4,2023-03-25 10:17:07.870714,/data/pecking_test/stimuli/confusing_categories/DC_TE/4v4/box6/nonreward/DC_Stim_7_YelGre5275_120635191508.wav,Unrewarded,True,True,0:00:01.707736,False,6.0
1,5,2023-03-25 10:17:09.674061,/data/pecking_test/stimuli/confusing_categories/DC_TE/4v4/box6/nonreward/DC_Stim_4_BlaBla0506_190106202618.wav,Unrewarded,True,True,0:00:02.380910,False,6.0
1,6,2023-03-25 10:17:12.097541,/data/pecking_test/stimuli/confusing_categories/DC_TE/4v4/box6/nonreward/DC_Stim_7_BlaBla0506_061520251219.wav,Unrewarded,False,False,nan,False,6.0
1,7,2023-03-25 10:17:25.245389,/data/pecking_test/stimuli/confusing_categories/DC_TE/4v4/box6/nonreward/DC_Stim_10_BlaLbl8026_150632260818.wav,Unrewarded,False,False,nan,False,6.0
1,8,2023-03-25 10:17:43.025422,/data/pecking_test/stimuli/confusing_categories/DC_TE/4v4/box6/nonreward/DC_Stim_8_BlaBla0506_151824052621.wav,Unrewarded,True,True,0:00:02.185496,False,6.0
1,9,2023-03-25 10:17:45.213721,/data/pecking_test/stimuli/confusing_categories/DC_TE/4v4/box6/nonreward/DC_Stim_1_YelGre5275_164023151418.wav,Unrewarded,False,False,nan,False,6.0
1,10,2023-03-25 10:17:55.333435,/data/pecking_test/stimuli/confusing_categories/DC_TE/4v4/box6/nonreward/DC_Stim_1_BlaBla0506_171402101920.wav,Unrewarded,True,True,0:00:01.665246,False,6.0
1,11,2023-03-25 10:17:57.001487,/data/pecking_test/stimuli/confusing_categories/DC_TE/4v4/box6/nonreward/DC_Stim_3_BlaBla0506_161108260206.wav,Unrewarded,False,False,nan,False,6.0
1,12,2023-03-25 10:18:15.927325,/data/pecking_test/stimuli/confusing_categories/DC_TE/4v4/box6/nonreward/DC_Stim_1_BlaLbl8026_312936350526.wav,Unrewarded,True,True,0:00:01.952041,False,6.0
1,13,2023-03-25 10:18:17.882067,/data/pecking_test/stimuli/confusing_categories/DC_TE/4v4/box6/nonreward/DC_Stim_1_WhiBlu4917_012208060919.wav,Unrewarded,False,False,nan,False,6.0
1,14,2023-03-25 10:18:27.743829,/data/pecking_test/stimuli/confusing_categories/DC_TE/4v4/box6/nonreward/DC_Stim_3_WhiBlu4917_091801190520.wav,Unrewarded,True,True,0:00:01.259834,False,6.0
1,15,2023-03-25 10:18:29.006316,/data/pecking_test/stimuli/confusing_categories/DC_TE/4v4/box6/nonreward/DC_Stim_5_WhiBlu4917_180908201906.wav,Unrewarded,True,True,0:00:01.584174,False,6.0
1,16,2023-03-25 10:18:30.689742,/data/pecking_test/stimuli/confusing_categories/DC_TE/4v4/box6/reward/Te_Stim_4_WhiLbl0010_251601200411.wav,Rewarded,False,True,nan,True,6.0
1,17,2023-03-25 10:19:11.434043,/data/pecking_test/stimuli/confusing_categories/DC_TE/4v4/box6/reward/Te_Stim_10_WhiBlu5698_241504192217.wav,Rewarded,False,True,nan,True,6.0
