session,index,time,stimulus_name,condition_name,response,correct,rt,reward,max_wait
1,1,2023-04-22 09:50:39.380724,/data/pecking_test/stimuli/confusing_categories/Te_Th/return-to-normal/box2/nonreward/Te_Stim_2_GraGra0201_210734363522.wav,Unrewarded,False,False,nan,False,6.0
1,2,2023-04-22 09:51:17.080847,/data/pecking_test/stimuli/confusing_categories/Te_Th/return-to-normal/box2/reward/Th_Stim_5_GreOra1817_294044223410.wav,Rewarded,False,True,nan,True,6.0
1,3,2023-04-22 09:51:49.273364,/data/pecking_test/stimuli/confusing_categories/Te_Th/return-to-normal/box2/reward/Th_Stim_3_GraGra0201_033022091442.wav,Rewarded,False,True,nan,True,6.0
1,4,2023-04-22 09:52:50.101440,/data/pecking_test/stimuli/confusing_categories/Te_Th/return-to-normal/box2/nonreward/Te_Stim_3_WhiWhi1415_231039151321.wav,Unrewarded,False,False,nan,False,6.0
1,5,2023-04-22 09:52:59.452742,/data/pecking_test/stimuli/confusing_categories/Te_Th/return-to-normal/box2/reward/Th_Stim_5_WhiWhi1415_261129160609.wav,Rewarded,False,True,nan,True,6.0
1,6,2023-04-22 10:22:21.807798,/data/pecking_test/stimuli/confusing_categories/Te_Th/return-to-normal/box2/nonreward/Te_Stim_2_WhiGra0114_051019211420.wav,Unrewarded,True,True,0:00:01.240530,False,6.0
1,7,2023-04-22 10:22:23.054045,/data/pecking_test/stimuli/confusing_categories/Te_Th/return-to-normal/box2/nonreward/Te_Stim_1_LblRed0613_012612190706.wav,Unrewarded,False,False,nan,False,6.0
1,8,2023-04-22 10:22:31.064048,/data/pecking_test/stimuli/confusing_categories/Te_Th/return-to-normal/box2/nonreward/Te_Stim_7_BluRas07dd_201716081319.wav,Unrewarded,True,True,0:00:01.470447,False,6.0
1,9,2023-04-22 10:22:32.542652,/data/pecking_test/stimuli/confusing_categories/Te_Th/return-to-normal/box2/nonreward/Te_Stim_10_GraGra0201_311005093207.wav,Unrewarded,False,False,nan,False,6.0
1,10,2023-04-22 10:22:40.605677,/data/pecking_test/stimuli/confusing_categories/Te_Th/return-to-normal/box2/reward/Th_Stim_2_WhiBlu4917_020301090705.wav,Rewarded,True,False,0:00:01.369998,False,6.0
1,11,2023-04-22 10:22:41.989901,/data/pecking_test/stimuli/confusing_categories/Te_Th/return-to-normal/box2/reward/Th_Stim_7_HPiHPi4748_251428242013.wav,Rewarded,False,True,nan,True,6.0
1,12,2023-04-22 10:23:34.343035,/data/pecking_test/stimuli/confusing_categories/Te_Th/return-to-normal/box2/reward/Th_Stim_7_BlaBla0506_030204050102.wav,Rewarded,False,True,nan,True,6.0
1,13,2023-04-22 10:24:03.240466,/data/pecking_test/stimuli/confusing_categories/Te_Th/return-to-normal/box2/nonreward/Te_Stim_1_GraGra0201_270833103620.wav,Unrewarded,True,True,0:00:01.432316,False,6.0
1,14,2023-04-22 10:24:04.697221,/data/pecking_test/stimuli/confusing_categories/Te_Th/return-to-normal/box2/nonreward/Te_Stim_6_LblRed0613_211004061930.wav,Unrewarded,True,True,0:00:01.446060,False,6.0
1,15,2023-04-22 10:24:06.158407,/data/pecking_test/stimuli/confusing_categories/Te_Th/return-to-normal/box2/reward/Th_Stim_7_GraGra0201_131519114014.wav,Rewarded,False,True,nan,True,6.0
1,16,2023-04-22 10:24:38.884198,/data/pecking_test/stimuli/confusing_categories/Te_Th/return-to-normal/box2/nonreward/Te_Stim_2_WhiBlu4818_051113190906.wav,Unrewarded,False,False,nan,False,6.0
