,Bird,Sex,Call,Re,Int,NoInt
0,HpiHpi1625F,F,So,Y,35,86
1,HpiHpi1625F,F,So,N,298,172
2,HpiHpi1625F,F,DC,Y,5,84
3,HpiHpi1625F,F,DC,N,283,59
4,HpiHpi1625F,F,LT,Y,19,54
5,HpiHpi1625F,F,LT,N,152,97
6,HpiHpi1625F,F,Te,Y,2,75
7,HpiHpi1625F,F,Te,N,128,167
8,HpiHpi1625F,F,Tu,Y,2,45
9,HpiHpi1625F,F,Tu,N,43,137
10,HpiHpi1625F,F,Th,Y,1,51
11,HpiHpi1625F,F,Th,N,65,138
12,HpiHpi1625F,F,Ag,Y,2,82
13,HpiHpi1625F,F,Ag,N,69,278
14,HpiHpi1625F,F,Di,Y,0,15
15,HpiHpi1625F,F,Di,N,3,39
16,HpiHpi1625F,F,Wh,Y,11,53
17,HpiHpi1625F,F,Wh,N,156,102
18,HpiHpi1625F,F,Ne,Y,11,72
19,HpiHpi1625F,F,Ne,N,190,80
20,HpiHpi1625F,F,Be,Y,31,95
21,HpiHpi1625F,F,Be,N,283,211
22,HpiHpi1918M,M,So,Y,6,121
23,HpiHpi1918M,M,So,N,135,328
24,HpiHpi1918M,M,DC,Y,14,69
25,HpiHpi1918M,M,DC,N,99,213
26,HpiHpi1918M,M,LT,Y,7,87
27,HpiHpi1918M,M,LT,N,146,223
28,HpiHpi1918M,M,Te,Y,0,88
29,HpiHpi1918M,M,Te,N,145,208
30,HpiHpi1918M,M,Tu,Y,2,70
31,HpiHpi1918M,M,Tu,N,71,223
32,HpiHpi1918M,M,Th,Y,2,98
33,HpiHpi1918M,M,Th,N,277,167
34,HpiHpi1918M,M,Ag,Y,14,123
35,HpiHpi1918M,M,Ag,N,222,359
36,HpiHpi1918M,M,Di,Y,6,61
37,HpiHpi1918M,M,Di,N,137,126
38,HpiHpi1918M,M,Wh,Y,4,83
39,HpiHpi1918M,M,Wh,N,216,190
40,HpiHpi1918M,M,Ne,Y,14,101
41,HpiHpi1918M,M,Ne,N,141,299
42,HpiHpi1918M,M,Be,Y,25,64
43,HpiHpi1918M,M,Be,N,197,165
44,HpiGra1242F,F,So,Y,1,59
45,HpiGra1242F,F,So,N,85,137
46,HpiGra1242F,F,DC,Y,15,67
47,HpiGra1242F,F,DC,N,127,189
48,HpiGra1242F,F,LT,Y,9,77
49,HpiGra1242F,F,LT,N,119,343
50,HpiGra1242F,F,Te,Y,0,24
51,HpiGra1242F,F,Te,N,38,103
52,HpiGra1242F,F,Tu,Y,8,76
53,HpiGra1242F,F,Tu,N,147,167
54,HpiGra1242F,F,Th,Y,2,99
55,HpiGra1242F,F,Th,N,172,222
56,HpiGra1242F,F,Ag,Y,39,55
57,HpiGra1242F,F,Ag,N,72,225
58,HpiGra1242F,F,Di,Y,6,115
