,Subject,Sex,Re,Int,NoInt,RIT
0,BluGre3435F,F,Y,65,4,0
1,BluGre3435F,F,N,0,4,0
2,GreBlu4813M,M,Y,21,4,0
3,GreBlu4813M,M,N,0,4,0
4,GreGre1819F,F,Y,10,4,0
5,GreGre1819F,F,N,1,4,0
6,HpiGre2990M,M,Y,7,4,0
7,HpiGre2990M,M,N,2,4,0
8,HpiXXX7700M,M,Y,96,4,0
9,HpiXXX7700M,M,N,4,4,0
10,LblGre1214F,F,Y,4,4,0
11,LblGre1214F,F,N,1,4,0
12,RedYel0836M,M,Y,14,4,0
13,RedYel0836M,M,N,5,4,0
14,BluGre3435F,F,Y,91,4,1
15,BluGre3435F,F,N,1,4,1
16,GreBlu4813M,M,Y,17,3,1
17,GreBlu4813M,M,N,0,4,1
18,GreGre1819F,F,Y,4,4,1
19,GreGre1819F,F,N,1,4,1
20,HpiGre2990M,M,Y,6,4,1
21,HpiGre2990M,M,N,6,4,1
22,HpiXXX7700M,M,Y,119,3,1
23,HpiXXX7700M,M,N,2,4,1
24,LblGre1214F,F,Y,11,4,1
25,LblGre1214F,F,N,0,4,1
26,RedYel0836M,M,Y,14,4,1
27,RedYel0836M,M,N,4,4,1
28,BluGre3435F,F,Y,41,4,2
29,BluGre3435F,F,N,2,4,2
30,GreBlu4813M,M,Y,2,2,2
31,GreBlu4813M,M,N,5,4,2
32,GreGre1819F,F,Y,3,4,2
33,GreGre1819F,F,N,4,4,2
34,HpiGre2990M,M,Y,9,4,2
35,HpiGre2990M,M,N,1,4,2
36,HpiXXX7700M,M,Y,4,1,2
37,HpiXXX7700M,M,N,5,4,2
38,LblGre1214F,F,Y,2,4,2
39,LblGre1214F,F,N,0,4,2
40,RedYel0836M,M,Y,3,4,2
41,RedYel0836M,M,N,11,4,2
42,BluGre3435F,F,Y,7,1,3
43,BluGre3435F,F,N,1,4,3
44,GreBlu4813M,M,N,3,4,3
45,GreGre1819F,F,Y,0,4,3
46,GreGre1819F,F,N,6,4,3
47,HpiGre2990M,M,Y,2,4,3
48,HpiGre2990M,M,N,4,4,3
49,HpiXXX7700M,M,Y,27,1,3
50,HpiXXX7700M,M,N,1,4,3
51,LblGre1214F,F,Y,2,4,3
52,LblGre1214F,F,N,6,4,3
53,RedYel0836M,M,Y,1,4,3
54,RedYel0836M,M,N,6,4,3
55,BluGre3435F,F,Y,8,1,4
56,BluGre3435F,F,N,4,4,4
57,GreBlu4813M,M,N,3,4,4
58,GreGre1819F,F,Y,0,4,4
59,GreGre1819F,F,N,1,4,4
60,HpiGre2990M,M,Y,1,4,4
61,HpiGre2990M,M,N,1,4,4
62,HpiXXX7700M,M,Y,26,1,4
63,HpiXXX7700M,M,N,5,4,4
64,LblGre1214F,F,Y,2,4,4
65,LblGre1214F,F,N,0,4,4
66,RedYel0836M,M,Y,3,4,4
67,RedYel0836M,M,N,3,4,4
68,BluGre3435F,F,N,3,4,5
69,GreBlu4813M,M,N,6,4,5
70,GreGre1819F,F,Y,0,3,5
71,GreGre1819F,F,N,1,4,5
72,HpiGre2990M,M,Y,2,4,5
73,HpiGre2990M,M,N,4,4,5
74,HpiXXX7700M,M,N,6,4,5
75,LblGre1214F,F,Y,0,2,5
76,LblGre1214F,F,N,2,4,5
77,RedYel0836M,M,Y,2,4,5
78,RedYel0836M,M,N,4,4,5
79,BluGre3435F,F,N,3,4,6
80,GreBlu4813M,M,N,15,4,6
81,GreGre1819F,F,Y,0,3,6
82,GreGre1819F,F,N,3,4,6
83,HpiGre2990M,M,Y,3,4,6
84,HpiGre2990M,M,N,1,4,6
85,HpiXXX7700M,M,N,6,4,6
86,LblGre1214F,F,Y,1,2,6
87,LblGre1214F,F,N,0,4,6
88,RedYel0836M,M,Y,0,3,6
89,RedYel0836M,M,N,4,4,6
90,BluGre3435F,F,N,2,4,7
91,GreBlu4813M,M,N,1,4,7
92,GreGre1819F,F,Y,0,2,7
93,GreGre1819F,F,N,3,4,7
94,HpiGre2990M,M,Y,1,3,7
95,HpiGre2990M,M,N,3,4,7
96,HpiXXX7700M,M,N,11,4,7
97,LblGre1214F,F,Y,0,1,7
98,LblGre1214F,F,N,2,4,7
99,RedYel0836M,M,Y,2,2,7
100,RedYel0836M,M,N,1,4,7
101,BluGre3435F,F,N,23,4,8
102,GreBlu4813M,M,N,1,4,8
103,GreGre1819F,F,Y,0,2,8
104,GreGre1819F,F,N,10,4,8
105,HpiGre2990M,M,Y,0,2,8
106,HpiGre2990M,M,N,0,4,8
107,HpiXXX7700M,M,N,21,4,8
108,LblGre1214F,F,Y,0,1,8
109,LblGre1214F,F,N,1,4,8
110,RedYel0836M,M,Y,0,2,8
111,RedYel0836M,M,N,2,4,8
112,BluGre3435F,F,N,1,4,9
113,GreBlu4813M,M,N,3,4,9
114,GreGre1819F,F,Y,0,2,9
115,GreGre1819F,F,N,2,4,9
116,HpiGre2990M,M,Y,0,2,9
117,HpiGre2990M,M,N,6,4,9
118,HpiXXX7700M,M,N,10,4,9
119,LblGre1214F,F,Y,0,1,9
120,LblGre1214F,F,N,2,4,9
121,RedYel0836M,M,Y,0,2,9
122,RedYel0836M,M,N,2,4,9
123,BluGre3435F,F,N,0,4,10
124,GreBlu4813M,M,N,0,4,10
125,GreGre1819F,F,N,0,4,10
126,HpiGre2990M,M,Y,0,1,10
127,HpiGre2990M,M,N,0,4,10
128,HpiXXX7700M,M,N,14,4,10
129,LblGre1214F,F,Y,0,1,10
130,LblGre1214F,F,N,0,4,10
131,RedYel0836M,M,N,3,4,10
