,Subject,test,trained_reward,Condition,Int,NoInt,Re
0,HpiXXX7700M,DCvsTET,DC,Learning,640,154,N
1,HpiXXX7700M,DCvsTET,DC,Learning,19,191,Y
2,BluGre3435F,DCvsTET,DC,Learning,958,161,N
3,BluGre3435F,DCvsTET,DC,Learning,21,253,Y
4,GreGre1819F,DCvsTET,TE,Learning,217,137,N
5,GreGre1819F,DCvsTET,TE,Learning,1,72,Y
6,HpiGre2990M,DCvsTET,TE,Learning,192,103,N
7,HpiGre2990M,DCvsTET,TE,Learning,6,63,Y
8,GreBlu4813M,THvsTET,TH,Learning,244,174,N
9,GreBlu4813M,THvsTET,TH,Learning,2,82,Y
10,RedYel0836M,THvsTET,TE,Learning,378,118,N
11,RedYel0836M,THvsTET,TE,Learning,13,107,Y
12,LblGre1214F,THvsTET,TE,Learning,196,226,N
13,LblGre1214F,THvsTET,TE,Learning,0,94,Y
14,BluGre3435F,DCvsTET,DC,Normal,746,33,N
15,BluGre3435F,DCvsTET,DC,Normal,23,201,Y
16,GreGre1819F,DCvsTET,TE,Normal,147,68,N
17,GreGre1819F,DCvsTET,TE,Normal,7,37,Y
18,HpiGre2990M,DCvsTET,TE,Normal,145,161,N
19,HpiGre2990M,DCvsTET,TE,Normal,17,57,Y
20,HpiXXX7700M,DCvsTET,DC,Normal,1237,16,N
21,HpiXXX7700M,DCvsTET,DC,Normal,29,252,Y
22,GreBlu4813M,THvsTET,TH,Normal,163,25,N
23,GreBlu4813M,THvsTET,TH,Normal,13,37,Y
24,LblGre1214F,THvsTET,TE,Normal,137,67,N
25,LblGre1214F,THvsTET,TE,Normal,9,43,Y
26,RedYel0836M,THvsTET,TE,Normal,165,95,N
27,RedYel0836M,THvsTET,TE,Normal,7,70,Y
28,BluGre3435F,DCvsTET,DC,Confusing,464,312,N
29,BluGre3435F,DCvsTET,DC,Confusing,216,10,Y
30,GreGre1819F,DCvsTET,TE,Confusing,67,154,N
31,GreGre1819F,DCvsTET,TE,Confusing,17,32,Y
32,HpiGre2990M,DCvsTET,TE,Confusing,98,209,N
33,HpiGre2990M,DCvsTET,TE,Confusing,31,39,Y
34,HpiXXX7700M,DCvsTET,DC,Confusing,1059,195,N
35,HpiXXX7700M,DCvsTET,DC,Confusing,276,6,Y
36,GreBlu4813M,THvsTET,TH,Confusing,71,119,N
37,GreBlu4813M,THvsTET,TH,Confusing,44,5,Y
38,LblGre1214F,THvsTET,TE,Confusing,54,154,N
39,LblGre1214F,THvsTET,TE,Confusing,23,28,Y
40,RedYel0836M,THvsTET,TE,Confusing,59,206,N
41,RedYel0836M,THvsTET,TE,Confusing,40,32,Y
42,BluGre3435F,DCvsTET,DC,old_congruant,338,68,N
43,BluGre3435F,DCvsTET,DC,old_congruant,6,99,Y
44,GreGre1819F,DCvsTET,TE,old_congruant,70,65,N
45,GreGre1819F,DCvsTET,TE,old_congruant,5,28,Y
46,HpiGre2990M,DCvsTET,TE,old_congruant,194,45,N
47,HpiGre2990M,DCvsTET,TE,old_congruant,8,55,Y
48,HpiXXX7700M,DCvsTET,DC,old_congruant,450,16,N
49,HpiXXX7700M,DCvsTET,DC,old_congruant,16,93,Y
50,GreBlu4813M,THvsTET,TH,old_congruant,100,41,N
51,GreBlu4813M,THvsTET,TH,old_congruant,0,25,Y
52,LblGre1214F,THvsTET,TE,old_congruant,122,75,N
53,LblGre1214F,THvsTET,TE,old_congruant,2,49,Y
54,RedYel0836M,THvsTET,TE,old_congruant,214,44,N
55,RedYel0836M,THvsTET,TE,old_congruant,7,58,Y
56,BluGre3435F,DCvsTET,DC,new_congruant,334,71,N
57,BluGre3435F,DCvsTET,DC,new_congruant,7,95,Y
58,GreGre1819F,DCvsTET,TE,new_congruant,73,59,N
59,GreGre1819F,DCvsTET,TE,new_congruant,5,31,Y
60,HpiGre2990M,DCvsTET,TE,new_congruant,174,65,N
61,HpiGre2990M,DCvsTET,TE,new_congruant,7,61,Y
62,HpiXXX7700M,DCvsTET,DC,new_congruant,451,19,N
63,HpiXXX7700M,DCvsTET,DC,new_congruant,15,100,Y
64,GreBlu4813M,THvsTET,TH,new_congruant,79,62,N
65,GreBlu4813M,THvsTET,TH,new_congruant,0,31,Y
66,LblGre1214F,THvsTET,TE,new_congruant,123,76,N
67,LblGre1214F,THvsTET,TE,new_congruant,5,47,Y
68,RedYel0836M,THvsTET,TE,new_congruant,217,36,N
69,RedYel0836M,THvsTET,TE,new_congruant,16,49,Y
