,Subject,Sex,Re,Int,NoInt,RIT
0,BluGre3435F,F,Y,0,4,0
1,BluGre3435F,F,N,2,4,0
2,GreBlu4813M,M,Y,0,4,0
3,GreBlu4813M,M,N,12,4,0
4,GreGre1819F,F,Y,2,4,0
5,GreGre1819F,F,N,1,4,0
6,HpiGre2990M,M,Y,1,4,0
7,HpiGre2990M,M,N,38,4,0
8,HpiXXX7700M,M,Y,0,4,0
9,HpiXXX7700M,M,N,100,4,0
10,LblGre1214F,F,Y,0,4,0
11,LblGre1214F,F,N,10,4,0
12,RedYel0836M,M,Y,4,4,0
13,RedYel0836M,M,N,15,4,0
14,BluGre3435F,F,Y,0,4,1
15,BluGre3435F,F,N,13,4,1
16,GreBlu4813M,M,Y,0,4,1
17,GreBlu4813M,M,N,10,4,1
18,GreGre1819F,F,Y,1,4,1
19,GreGre1819F,F,N,1,4,1
20,HpiGre2990M,M,Y,0,4,1
21,HpiGre2990M,M,N,10,4,1
22,HpiXXX7700M,M,Y,1,4,1
23,HpiXXX7700M,M,N,106,4,1
24,LblGre1214F,F,Y,0,4,1
25,LblGre1214F,F,N,6,4,1
26,RedYel0836M,M,Y,0,4,1
27,RedYel0836M,M,N,24,4,1
28,BluGre3435F,F,Y,0,4,2
29,BluGre3435F,F,N,22,4,2
30,GreBlu4813M,M,Y,0,4,2
31,GreBlu4813M,M,N,11,4,2
32,GreGre1819F,F,Y,1,4,2
33,GreGre1819F,F,N,4,4,2
34,HpiGre2990M,M,Y,1,4,2
35,HpiGre2990M,M,N,2,4,2
36,HpiXXX7700M,M,Y,2,4,2
37,HpiXXX7700M,M,N,55,4,2
38,LblGre1214F,F,Y,0,4,2
39,LblGre1214F,F,N,5,4,2
40,RedYel0836M,M,Y,0,4,2
41,RedYel0836M,M,N,25,4,2
42,BluGre3435F,F,Y,0,4,3
43,BluGre3435F,F,N,34,4,3
44,GreBlu4813M,M,Y,0,4,3
45,GreBlu4813M,M,N,14,4,3
46,GreGre1819F,F,Y,0,4,3
47,GreGre1819F,F,N,6,4,3
48,HpiGre2990M,M,Y,1,4,3
49,HpiGre2990M,M,N,21,4,3
50,HpiXXX7700M,M,Y,2,4,3
51,HpiXXX7700M,M,N,70,3,3
52,LblGre1214F,F,Y,0,4,3
53,LblGre1214F,F,N,6,4,3
54,RedYel0836M,M,Y,1,4,3
55,RedYel0836M,M,N,31,4,3
56,BluGre3435F,F,Y,1,4,4
57,BluGre3435F,F,N,50,4,4
58,GreBlu4813M,M,Y,0,4,4
59,GreBlu4813M,M,N,12,4,4
60,GreGre1819F,F,Y,0,3,4
61,GreGre1819F,F,N,3,4,4
62,HpiGre2990M,M,Y,0,4,4
63,HpiGre2990M,M,N,27,4,4
64,HpiXXX7700M,M,Y,0,4,4
65,HpiXXX7700M,M,N,52,2,4
66,LblGre1214F,F,Y,0,4,4
67,LblGre1214F,F,N,3,4,4
68,RedYel0836M,M,Y,0,4,4
69,RedYel0836M,M,N,5,4,4
70,BluGre3435F,F,Y,0,4,5
71,BluGre3435F,F,N,29,4,5
72,GreBlu4813M,M,Y,0,4,5
73,GreBlu4813M,M,N,11,4,5
74,GreGre1819F,F,Y,1,2,5
75,GreGre1819F,F,N,6,4,5
76,HpiGre2990M,M,Y,1,4,5
77,HpiGre2990M,M,N,6,4,5
78,HpiXXX7700M,M,Y,0,4,5
79,HpiXXX7700M,M,N,42,2,5
80,LblGre1214F,F,Y,1,4,5
81,LblGre1214F,F,N,8,4,5
82,RedYel0836M,M,Y,1,4,5
83,RedYel0836M,M,N,44,4,5
84,BluGre3435F,F,Y,0,4,6
85,BluGre3435F,F,N,45,4,6
86,GreBlu4813M,M,Y,0,1,6
87,GreBlu4813M,M,N,2,4,6
88,GreGre1819F,F,Y,0,2,6
89,GreGre1819F,F,N,3,4,6
90,HpiGre2990M,M,Y,0,4,6
91,HpiGre2990M,M,N,17,4,6
92,HpiXXX7700M,M,Y,2,4,6
93,HpiXXX7700M,M,N,21,1,6
94,LblGre1214F,F,Y,0,4,6
95,LblGre1214F,F,N,4,4,6
96,RedYel0836M,M,Y,0,4,6
97,RedYel0836M,M,N,15,4,6
98,BluGre3435F,F,Y,0,4,7
99,BluGre3435F,F,N,48,4,7
100,GreBlu4813M,M,N,5,3,7
101,GreGre1819F,F,Y,0,2,7
102,GreGre1819F,F,N,6,4,7
103,HpiGre2990M,M,Y,0,4,7
104,HpiGre2990M,M,N,19,4,7
105,HpiXXX7700M,M,Y,2,4,7
106,LblGre1214F,F,Y,0,4,7
107,LblGre1214F,F,N,4,4,7
108,RedYel0836M,M,Y,0,4,7
109,RedYel0836M,M,N,4,4,7
110,BluGre3435F,F,Y,1,4,8
111,BluGre3435F,F,N,9,4,8
112,GreBlu4813M,M,N,2,3,8
113,GreGre1819F,F,Y,0,2,8
114,GreGre1819F,F,N,4,4,8
115,HpiGre2990M,M,Y,0,4,8
116,HpiGre2990M,M,N,11,4,8
117,HpiXXX7700M,M,Y,0,4,8
118,LblGre1214F,F,Y,0,4,8
119,LblGre1214F,F,N,6,4,8
120,RedYel0836M,M,Y,0,4,8
121,RedYel0836M,M,N,7,3,8
122,BluGre3435F,F,Y,1,4,9
123,BluGre3435F,F,N,16,4,9
124,GreBlu4813M,M,N,12,3,9
125,GreGre1819F,F,Y,0,1,9
126,GreGre1819F,F,N,7,4,9
